#RES	SS	RSA	COV	nBFP	rBFP	RSQ_L	RSQ_S
1	1	1	0.62	2.14	43.17	62.31	57.84
2	1	1	0.64	1.58	38.44	45.66	42.57
3	1	1	0.73	1.09	34.30	42.00	39.11
4	1	1	0.68	0.78	31.75	42.07	39.22
5	1	1	0.78	0.61	30.34	37.58	35.17
6	1	1	0.81	0.42	28.68	34.31	32.07
7	1	1	0.90	0.28	27.56	31.16	28.92
8	1	0	0.93	0.08	25.84	28.24	26.46
9	1	1	0.88	0.14	26.39	24.60	23.05
10	1	1	0.88	0.08	25.84	23.00	21.68
11	1	0	0.88	-0.01	25.08	20.87	19.47
12	1	1	0.90	0.14	26.39	20.20	19.12
13	1	1	0.91	0.18	26.71	15.99	15.16
14	1	1	0.90	0.06	25.66	14.46	13.56
15	1	0	0.89	0.02	25.33	11.53	10.93
16	1	1	0.88	0.10	26.06	14.38	13.65
17	4	1	0.96	0.04	25.52	14.95	14.22
18	4	0	0.90	-0.26	23.02	11.85	11.23
19	4	1	0.90	-0.26	22.98	13.24	12.38
20	4	0	0.89	-0.18	23.65	12.83	12.07
21	1	1	0.91	0.15	26.43	14.75	13.92
22	1	1	0.91	0.35	28.16	21.51	20.07
23	1	1	0.80	0.31	27.75	20.83	19.67
24	1	1	0.82	0.38	28.38	19.85	18.83
25	1	1	0.69	0.22	27.05	16.97	16.32
26	4	0	0.72	-0.01	25.15	14.14	13.49
27	4	1	0.71	-0.04	24.85	11.61	11.07
28	4	1	0.74	-0.07	24.60	12.66	12.15
29	4	1	0.78	-0.06	24.64	16.07	15.42
30	2	1	0.74	-0.13	24.14	17.74	16.63
31	2	1	0.80	-0.14	24.05	16.00	15.06
32	2	1	0.79	-0.15	23.92	16.38	15.31
33	2	1	0.79	-0.07	24.59	21.22	19.82
34	2	0	0.71	-0.27	22.89	21.58	20.19
35	2	0	0.68	-0.30	22.69	20.42	19.09
36	2	1	0.69	-0.10	24.38	22.30	20.88
37	2	1	0.70	-0.01	25.11	24.47	22.82
38	2	1	0.72	-0.13	24.06	23.49	22.10
39	2	0	0.70	-0.32	22.53	21.27	20.00
40	2	1	0.72	-0.17	23.76	24.74	23.21
41	2	1	0.70	-0.29	22.74	23.61	22.43
42	2	0	0.65	-0.35	22.21	21.96	20.86
43	2	0	0.57	-0.34	22.30	15.91	15.41
44	2	1	0.72	-0.18	23.69	19.16	18.26
45	2	1	0.75	-0.08	24.53	20.91	19.82
46	2	0	0.68	-0.20	23.55	19.75	19.10
47	2	1	0.73	0.07	25.74	20.80	19.80
48	1	1	0.82	0.19	26.80	24.86	23.51
49	1	0	0.90	0.16	26.51	25.39	23.84
50	1	1	0.93	0.28	27.57	19.74	18.56
51	1	1	0.90	0.23	27.08	17.56	16.57
52	1	1	0.81	0.04	25.52	13.35	12.69
53	4	0	0.85	-0.32	22.54	12.42	11.96
54	4	0	0.87	-0.49	21.06	8.95	8.66
55	4	1	0.88	-0.46	21.35	6.96	7.03
56	4	0	0.88	-0.54	20.68	4.34	4.51
57	4	0	0.88	-0.40	21.85	2.10	2.44
58	4	1	0.88	-0.09	24.47	3.19	3.43
59	1	1	0.71	0.17	26.63	3.24	3.19
60	1	1	0.72	0.19	26.77	4.54	4.51
61	1	0	0.68	0.23	27.15	1.86	2.23
62	1	1	0.67	0.40	28.51	7.76	7.52
63	1	1	0.72	0.44	28.86	10.49	10.04
64	1	1	0.82	0.43	28.83	12.16	11.52
65	1	1	0.88	0.53	29.64	12.32	11.68
66	1	1	0.89	0.26	27.33	12.20	11.60
67	1	0	0.89	0.03	25.42	10.89	10.49
68	1	1	0.88	-0.04	24.81	7.46	7.16
69	1	1	0.87	-0.02	24.98	10.72	10.22
70	1	0	0.89	-0.25	23.07	11.70	10.95
71	4	0	0.90	-0.43	21.55	10.00	9.72
72	4	0	0.93	-0.58	20.33	10.00	9.61
73	4	0	0.92	-0.55	20.56	10.00	9.77
74	1	0	0.88	-0.26	23.04	7.46	7.23
75	1	0	0.89	0.04	25.52	13.12	12.41
76	1	1	0.88	0.41	28.63	16.39	15.51
77	1	1	0.87	0.66	30.76	23.27	21.65
78	1	1	0.87	0.69	31.01	23.28	21.71
79	1	1	0.83	0.53	29.60	17.93	16.83
80	1	1	0.82	0.18	26.67	17.75	16.67
81	4	0	0.75	-0.14	24.00	16.68	16.00
82	4	1	0.92	-0.12	24.21	13.46	12.86
83	4	1	0.93	-0.28	22.85	12.09	11.53
84	4	0	0.94	-0.32	22.53	8.92	8.47
85	4	0	0.94	-0.24	23.17	5.89	5.71
86	4	1	0.91	-0.02	25.03	5.04	5.03
87	1	1	0.90	0.19	26.78	4.32	4.13
88	1	1	0.86	0.35	28.14	4.21	4.08
89	1	1	0.85	0.32	27.85	3.51	3.77
90	1	1	0.87	0.44	28.84	2.53	2.85
91	1	1	0.81	0.28	27.50	1.17	1.53
92	2	0	0.75	0.06	25.73	3.11	3.13
93	2	1	0.78	0.12	26.22	3.21	3.30
94	2	1	0.81	0.00	25.19	5.05	4.91
95	2	0	0.89	-0.19	23.59	6.34	5.96
96	2	1	0.83	0.03	25.48	7.34	6.94
97	2	1	0.87	0.15	26.43	7.65	7.19
98	2	1	0.81	0.15	26.48	8.09	7.63
99	2	0	0.78	0.06	25.67	7.48	7.20
100	2	1	0.79	0.25	27.32	4.66	4.58
101	2	1	0.79	0.20	26.87	5.49	5.24
102	2	1	0.81	0.14	26.40	5.31	5.05
103	2	1	0.77	0.29	27.60	3.99	4.09
104	1	1	0.75	0.31	27.79	2.72	3.05
105	1	1	0.80	0.21	26.94	3.43	3.62
106	2	0	0.81	-0.09	24.46	7.17	6.73
107	2	1	0.74	-0.09	24.43	8.69	8.27
108	2	0	0.88	-0.27	22.89	13.38	12.73
109	4	0	0.87	-0.46	21.32	16.87	16.21
110	4	0	0.88	-0.33	22.46	15.67	14.99
111	4	1	0.92	-0.17	23.73	16.11	15.14
112	1	1	0.83	0.06	25.70	17.95	17.15
113	1	1	0.82	0.19	26.77	19.77	18.58
114	1	1	0.82	0.24	27.18	20.74	19.59
115	1	1	0.88	0.16	26.54	21.14	19.79
116	1	0	0.86	-0.01	25.09	20.14	18.79
117	1	0	0.82	-0.18	23.65	15.64	14.72
118	1	0	0.78	-0.20	23.49	14.15	13.37
119	1	1	0.64	-0.20	23.50	13.97	13.39
120	1	0	0.64	-0.17	23.75	15.34	14.57
121	1	1	0.84	0.02	25.38	13.18	12.55
122	1	1	0.87	0.02	25.39	13.65	12.86
123	1	1	0.85	0.01	25.26	11.57	11.18
124	4	0	0.83	-0.22	23.37	9.12	8.66
125	4	1	0.86	-0.25	23.07	8.17	7.86
126	4	0	0.83	-0.30	22.71	12.58	12.26
127	4	1	0.81	-0.20	23.47	13.59	12.98
128	4	1	0.78	0.08	25.85	18.86	17.79
129	1	1	0.69	0.35	28.13	19.57	18.51
130	1	1	0.71	0.80	31.92	10.00	9.56
