#RES	SS	RSA	COV	nBFP	rBFP	RSQ_L	RSQ_S
1	1	1	0.62	2.14	43.17	40.22	37.51
2	1	1	0.64	1.58	38.44	39.46	36.80
3	1	1	0.73	1.09	34.30	34.84	32.35
4	1	1	0.68	0.78	31.75	35.31	32.94
5	1	1	0.78	0.61	30.34	33.99	31.74
6	1	1	0.81	0.42	28.68	33.17	30.86
7	1	1	0.90	0.28	27.56	32.98	30.71
8	1	0	0.93	0.08	25.84	31.22	29.20
9	1	1	0.88	0.14	26.39	27.62	25.69
10	1	1	0.88	0.08	25.84	24.41	22.86
11	1	0	0.88	-0.01	25.08	19.32	18.34
12	1	1	0.90	0.14	26.39	15.40	14.41
13	1	1	0.91	0.18	26.71	8.84	8.45
14	1	1	0.90	0.06	25.66	6.75	6.53
15	1	0	0.89	0.02	25.33	7.47	7.10
16	1	1	0.88	0.10	26.06	8.75	8.18
17	4	1	0.96	0.04	25.52	11.60	10.94
18	4	0	0.90	-0.26	23.02	12.95	12.33
19	4	1	0.90	-0.26	22.98	16.13	15.31
20	4	0	0.89	-0.18	23.65	20.27	19.25
21	1	1	0.91	0.15	26.43	24.14	22.52
22	1	1	0.91	0.35	28.16	29.84	27.84
23	1	1	0.80	0.31	27.75	22.68	21.37
24	1	1	0.82	0.38	28.38	24.51	23.21
25	1	1	0.69	0.22	27.05	26.51	24.98
26	4	0	0.72	-0.01	25.15	27.71	25.96
27	4	1	0.71	-0.04	24.85	23.02	21.83
28	4	1	0.74	-0.07	24.60	21.08	19.94
29	4	1	0.78	-0.06	24.64	15.31	14.55
30	2	1	0.74	-0.13	24.14	13.36	12.53
31	2	1	0.80	-0.14	24.05	13.25	12.53
32	2	1	0.79	-0.15	23.92	11.43	10.86
33	2	1	0.79	-0.07	24.59	10.87	10.36
34	2	0	0.71	-0.27	22.89	13.36	12.64
35	2	0	0.68	-0.30	22.69	12.61	11.86
36	2	1	0.69	-0.10	24.38	12.32	11.78
37	2	1	0.70	-0.01	25.11	13.95	13.36
38	2	1	0.72	-0.13	24.06	13.79	13.14
39	2	0	0.70	-0.32	22.53	14.58	13.80
40	2	1	0.72	-0.17	23.79	14.87	14.10
41	2	1	0.70	-0.29	22.74	14.31	13.91
42	2	0	0.65	-0.35	22.21	13.50	13.09
43	2	0	0.57	-0.34	22.31	13.69	13.31
44	2	1	0.72	-0.18	23.69	17.64	17.00
45	2	1	0.75	-0.08	24.53	20.23	19.30
46	2	0	0.68	-0.20	23.55	12.75	12.46
47	2	1	0.73	0.07	25.74	13.32	12.99
48	1	1	0.82	0.19	26.80	12.49	11.86
49	1	0	0.90	0.16	26.51	21.32	20.02
50	1	1	0.93	0.28	27.57	22.20	20.64
51	1	1	0.90	0.23	27.08	21.61	20.31
52	1	1	0.81	0.04	25.52	19.61	18.32
53	4	0	0.85	-0.32	22.54	11.42	11.16
54	4	0	0.87	-0.49	21.06	9.83	9.45
55	4	1	0.88	-0.46	21.35	7.26	7.31
56	4	0	0.88	-0.54	20.68	6.93	6.90
57	4	0	0.88	-0.40	21.85	6.95	6.88
58	4	1	0.88	-0.09	24.47	6.84	6.98
59	1	1	0.71	0.17	26.63	14.47	13.75
60	1	1	0.72	0.19	26.77	15.05	14.19
61	1	0	0.68	0.23	27.15	16.43	15.57
62	1	1	0.67	0.40	28.51	17.16	16.08
63	1	1	0.72	0.44	28.86	23.03	21.62
64	1	1	0.82	0.43	28.83	22.25	20.78
65	1	1	0.88	0.53	29.64	23.92	22.35
66	1	1	0.89	0.26	27.33	22.52	21.23
67	1	0	0.89	0.03	25.42	20.10	18.89
68	1	1	0.88	-0.04	24.81	18.91	17.83
69	1	1	0.87	-0.02	24.98	17.65	16.53
70	1	0	0.89	-0.25	23.07	15.30	14.50
71	4	0	0.90	-0.43	21.55	13.59	13.20
72	4	0	0.93	-0.58	20.33	10.39	9.89
73	4	0	0.92	-0.55	20.56	11.38	11.03
74	1	0	0.88	-0.26	23.04	10.03	9.49
75	1	0	0.89	0.04	25.52	13.37	12.53
76	1	1	0.88	0.41	28.63	15.70	14.76
77	1	1	0.87	0.66	30.76	20.64	19.26
78	1	1	0.87	0.69	31.01	22.55	21.09
79	1	1	0.83	0.53	29.60	20.96	19.57
80	1	1	0.82	0.18	26.67	17.63	16.50
81	4	0	0.75	-0.14	24.00	15.62	14.82
82	4	1	0.92	-0.12	24.21	15.51	14.82
83	4	1	0.93	-0.28	22.85	13.86	13.06
84	4	0	0.94	-0.32	22.53	12.69	12.11
85	4	0	0.94	-0.24	23.17	13.02	12.30
86	4	1	0.91	-0.02	25.03	16.59	15.54
87	1	1	0.90	0.19	26.78	18.43	17.22
88	1	1	0.86	0.35	28.14	12.55	11.84
89	1	1	0.85	0.32	27.85	13.19	12.58
90	1	1	0.87	0.44	28.84	14.62	13.96
91	1	1	0.81	0.28	27.50	13.99	13.40
92	2	0	0.75	0.06	25.73	9.88	9.32
93	2	1	0.78	0.12	26.22	10.19	9.69
94	2	1	0.81	0.00	25.19	9.62	9.11
95	2	0	0.89	-0.19	23.59	9.43	8.88
96	2	1	0.83	0.03	25.48	9.50	9.04
97	2	1	0.87	0.15	26.43	8.49	8.04
98	2	1	0.81	0.15	26.48	8.74	8.43
99	2	0	0.78	0.06	25.67	9.45	8.97
100	2	1	0.79	0.25	27.32	7.94	7.63
101	2	1	0.79	0.20	26.87	7.53	7.26
102	2	1	0.81	0.14	26.40	7.96	7.61
103	2	1	0.77	0.29	27.60	6.26	6.17
104	1	1	0.75	0.31	27.79	9.46	9.25
105	1	1	0.80	0.21	26.94	12.11	11.68
106	2	0	0.81	-0.09	24.46	10.16	9.55
107	2	1	0.74	-0.09	24.43	11.09	10.43
108	2	0	0.88	-0.27	22.89	12.95	12.26
109	4	0	0.87	-0.46	21.32	11.41	11.20
110	4	0	0.88	-0.33	22.46	11.48	10.95
111	4	1	0.92	-0.17	23.73	15.52	14.64
112	1	1	0.83	0.06	25.70	16.74	15.84
113	1	1	0.82	0.19	26.77	19.77	18.50
114	1	1	0.82	0.24	27.18	22.08	20.78
115	1	1	0.88	0.16	26.54	20.32	19.08
116	1	0	0.86	-0.01	25.09	20.14	19.07
117	1	0	0.82	-0.18	23.65	19.11	17.89
118	1	0	0.78	-0.20	23.49	18.22	17.36
119	1	1	0.64	-0.20	23.50	14.61	13.98
120	1	0	0.64	-0.17	23.75	12.97	12.32
121	1	1	0.84	0.02	25.38	10.82	10.19
122	1	1	0.87	0.02	25.39	5.60	5.46
123	1	1	0.85	0.01	25.26	4.09	3.98
124	4	0	0.83	-0.22	23.37	5.71	5.68
125	4	1	0.86	-0.25	23.07	6.34	6.24
126	4	0	0.83	-0.30	22.71	9.56	9.18
127	4	1	0.81	-0.20	23.47	10.96	10.60
128	4	1	0.78	0.08	25.85	13.26	12.68
129	1	1	0.69	0.35	28.13	15.86	14.97
130	1	1	0.71	0.80	31.92	21.64	20.27
131	1	1	0.72	1.06	34.12	23.94	22.46
132	1	1	0.70	1.55	38.20	25.15	23.56
133	1	1	0.63	2.21	43.73	9.16	9.01
