#RES	SS	RSA	COV	nBFP	rBFP	RSQ_L	RSQ_S
1	1	1	0.62	2.14	43.17	28.13	26.49
2	1	1	0.64	1.58	38.44	31.98	29.93
3	1	1	0.73	1.09	34.30	29.64	27.58
4	1	1	0.68	0.78	31.75	34.51	32.22
5	1	1	0.78	0.61	30.34	34.71	32.31
6	1	1	0.81	0.42	28.68	38.10	35.57
7	1	1	0.90	0.28	27.56	37.28	34.78
8	1	0	0.93	0.08	25.84	34.75	32.40
9	1	1	0.88	0.14	26.39	32.68	30.31
10	1	1	0.88	0.08	25.84	31.82	29.75
11	1	0	0.88	-0.01	25.08	23.58	22.24
12	1	1	0.90	0.14	26.39	17.28	16.20
13	1	1	0.91	0.18	26.71	9.28	8.80
14	1	1	0.90	0.06	25.66	7.40	7.06
15	1	0	0.89	0.02	25.33	8.40	8.01
16	1	1	0.88	0.10	26.06	10.52	9.95
17	4	1	0.96	0.04	25.52	11.85	11.21
18	4	0	0.90	-0.26	23.02	14.38	13.54
19	4	1	0.90	-0.26	22.98	15.66	14.83
20	4	0	0.89	-0.18	23.65	18.05	16.93
21	1	1	0.91	0.15	26.43	20.08	18.84
22	1	1	0.91	0.35	28.16	20.82	19.53
23	1	1	0.80	0.31	27.75	18.14	17.23
24	1	1	0.82	0.38	28.38	17.95	17.13
25	1	1	0.69	0.22	27.05	18.84	17.95
26	4	0	0.72	-0.01	25.15	15.20	14.50
27	4	1	0.71	-0.04	24.85	10.86	10.55
28	4	1	0.74	-0.07	24.60	7.35	7.42
29	4	1	0.78	-0.06	24.64	6.67	6.65
30	2	1	0.74	-0.13	24.14	6.56	6.24
31	2	1	0.80	-0.14	24.05	8.92	8.36
32	2	1	0.79	-0.15	23.92	12.02	11.43
33	2	1	0.79	-0.07	24.59	14.12	13.34
34	2	0	0.71	-0.27	22.89	14.13	13.34
35	2	0	0.68	-0.30	22.69	16.25	15.48
36	2	1	0.69	-0.10	24.38	19.26	18.21
37	2	1	0.70	-0.01	25.11	20.82	19.70
38	2	1	0.72	-0.13	24.06	20.91	19.56
39	2	0	0.70	-0.32	22.53	18.11	17.36
40	2	1	0.72	-0.17	23.79	21.59	20.26
41	2	1	0.70	-0.29	22.74	25.01	23.76
42	2	0	0.65	-0.35	22.21	19.20	18.46
43	2	0	0.57	-0.34	22.31	18.55	17.75
44	2	1	0.72	-0.18	23.69	29.10	27.56
45	2	1	0.75	-0.08	24.53	32.65	30.78
46	2	0	0.68	-0.20	23.55	22.74	21.69
47	2	1	0.73	0.07	25.74	25.40	24.20
48	1	1	0.82	0.19	26.80	26.85	25.10
49	1	0	0.90	0.16	26.51	37.72	35.19
50	1	1	0.93	0.28	27.57	36.72	34.01
51	1	1	0.90	0.23	27.08	33.94	31.72
52	1	1	0.81	0.04	25.52	31.89	29.72
53	4	0	0.85	-0.32	22.54	24.02	22.76
54	4	0	0.87	-0.49	21.06	22.06	20.81
55	4	1	0.88	-0.46	21.35	22.17	21.08
56	4	0	0.88	-0.54	20.68	24.81	23.42
57	4	0	0.88	-0.40	21.85	25.50	24.23
58	4	1	0.88	-0.09	24.47	25.69	24.15
59	1	1	0.71	0.17	26.63	23.17	21.54
60	1	1	0.72	0.19	26.77	19.23	17.90
61	1	0	0.68	0.23	27.15	16.64	15.58
62	1	1	0.67	0.40	28.51	17.80	16.88
63	1	1	0.72	0.44	28.86	20.38	19.03
64	1	1	0.82	0.43	28.83	21.46	20.01
65	1	1	0.88	0.53	29.64	23.54	22.03
66	1	1	0.89	0.26	27.33	24.18	22.80
67	1	0	0.89	0.03	25.42	22.28	20.91
68	1	1	0.88	-0.04	24.81	20.27	18.94
69	1	1	0.87	-0.02	24.98	14.98	14.22
70	1	0	0.89	-0.25	23.07	12.54	11.74
71	4	0	0.90	-0.43	21.55	8.62	8.28
72	4	0	0.93	-0.58	20.33	7.14	6.89
73	4	0	0.92	-0.55	20.56	9.92	9.67
74	1	0	0.88	-0.26	23.04	15.26	14.32
75	1	0	0.89	0.04	25.52	20.90	19.71
76	1	1	0.88	0.41	28.63	23.07	21.47
77	1	1	0.87	0.66	30.76	28.27	26.29
78	1	1	0.87	0.69	31.01	28.18	26.35
79	1	1	0.83	0.53	29.60	24.88	23.34
80	1	1	0.82	0.18	26.67	19.73	18.43
81	4	0	0.75	-0.14	24.00	15.10	14.33
82	4	1	0.92	-0.12	24.21	11.91	11.54
83	4	1	0.93	-0.28	22.85	8.80	8.35
84	4	0	0.94	-0.32	22.53	6.48	6.47
85	4	0	0.94	-0.24	23.17	7.03	6.77
86	4	1	0.91	-0.02	25.03	12.44	11.78
87	1	1	0.90	0.19	26.78	14.39	13.40
88	1	1	0.86	0.35	28.14	2.68	2.74
89	1	1	0.85	0.32	27.85	3.57	3.76
90	1	1	0.87	0.44	28.84	3.80	3.81
91	1	1	0.81	0.28	27.50	3.59	3.82
92	2	0	0.75	0.06	25.73	3.00	2.91
93	2	1	0.78	0.12	26.22	3.82	3.65
