#RES	SS	RSA	COV	nBFP	rBFP	RSQ_L	RSQ_S
1	1	1	0.62	2.14	43.17	53.35	49.69
2	1	1	0.64	1.58	38.44	55.99	52.02
3	1	1	0.73	1.09	34.30	45.56	42.39
4	1	1	0.68	0.78	31.75	46.72	43.42
5	1	1	0.78	0.61	30.34	43.31	40.33
6	1	1	0.81	0.42	28.68	41.74	38.81
7	1	1	0.90	0.28	27.56	42.87	39.96
8	1	0	0.93	0.08	25.84	42.11	39.25
9	1	1	0.88	0.14	26.39	37.97	35.16
10	1	1	0.88	0.08	25.84	37.76	35.36
11	1	0	0.88	-0.01	25.08	27.21	25.56
12	1	1	0.90	0.14	26.39	20.76	19.37
13	1	1	0.91	0.18	26.71	12.88	12.09
14	1	1	0.90	0.06	25.66	11.08	10.50
15	1	0	0.89	0.02	25.33	8.33	7.95
16	1	1	0.88	0.10	26.06	10.38	9.90
17	4	1	0.96	0.04	25.52	13.96	13.23
18	4	0	0.90	-0.26	23.02	14.11	13.25
19	4	1	0.90	-0.26	22.98	15.44	14.60
20	4	0	0.89	-0.18	23.65	18.35	17.29
21	1	1	0.91	0.15	26.43	21.11	19.81
22	1	1	0.91	0.35	28.16	22.58	21.16
23	1	1	0.80	0.31	27.75	21.70	20.46
24	1	1	0.82	0.38	28.38	22.04	20.67
25	1	1	0.69	0.22	27.05	21.88	20.76
26	4	0	0.72	-0.01	25.15	16.87	16.22
27	4	1	0.71	-0.04	24.85	13.43	12.79
28	4	1	0.74	-0.07	24.60	10.55	10.39
29	4	1	0.78	-0.06	24.64	13.44	12.94
30	2	1	0.74	-0.13	24.14	12.59	11.81
31	2	1	0.80	-0.14	24.05	13.66	12.75
32	2	1	0.79	-0.15	23.92	16.50	15.45
33	2	1	0.79	-0.07	24.59	17.95	16.92
34	2	0	0.71	-0.27	22.89	15.78	14.87
35	2	0	0.68	-0.30	22.69	17.23	16.41
36	2	1	0.69	-0.10	24.38	21.02	19.85
37	2	1	0.70	-0.01	25.11	21.96	20.76
38	2	1	0.72	-0.13	24.06	21.30	20.01
39	2	0	0.70	-0.32	22.53	23.77	22.57
40	2	1	0.72	-0.17	23.76	25.38	23.86
41	2	1	0.70	-0.29	22.74	27.24	25.82
42	2	0	0.65	-0.35	22.21	26.79	25.44
43	2	0	0.57	-0.34	22.30	22.38	21.38
44	2	1	0.72	-0.18	23.69	23.93	22.64
45	2	1	0.75	-0.08	24.53	28.29	26.72
46	2	0	0.68	-0.20	23.55	26.67	25.32
47	2	1	0.73	0.07	25.74	28.95	27.42
48	1	1	0.82	0.19	26.80	31.66	29.55
49	1	0	0.90	0.16	26.51	36.53	34.13
50	1	1	0.93	0.28	27.57	35.90	33.34
51	1	1	0.90	0.23	27.08	34.00	31.75
52	1	1	0.81	0.04	25.52	30.54	28.53
